week,temperature,humidity,feels_like,pressure,clouds,wind_speed,wind_deg,sunrise_seconds,sunset_seconds,weather_description,sunrise,sunset,Semana
1,20.860000000000003,85.57142857142857,21.23857142857143,1013.2857142857143,45.714285714285715,2.792857142857143,144.28571428571428,18730.571428571428,67398.28571428571,light rain,05:12:10,18:43:18,2022-12-04
2,19.84,82.57142857142857,20.035714285714285,1011.7142857142857,48.57142857142857,4.6571428571428575,190.0,18831.571428571428,67665.71428571429,broken clouds,05:13:51,18:47:45,2022-12-11
3,17.69,89.85714285714286,17.860000000000003,1015.4285714285714,80.71428571428571,5.597142857142857,129.85714285714286,18993.571428571428,67899.0,overcast clouds,05:16:33,18:51:39,2022-12-18
4,20.21,92.42857142857143,20.701428571428572,1015.1428571428571,47.142857142857146,3.3542857142857145,151.0,19208.285714285714,68086.71428571429,moderate rain,05:20:08,18:54:46,2022-12-25
5,18.707142857142856,93.28571428571429,19.06857142857143,1015.0,59.285714285714285,4.054285714285714,158.57142857142858,19465.85714285714,68219.71428571429,mist,05:24:25,18:56:59,2023-01-01
6,20.31142857142857,89.71428571428571,20.740000000000002,1015.4285714285714,62.857142857142854,3.164285714285714,152.85714285714286,19753.571428571428,68291.28571428571,mist,05:29:13,18:58:11,2023-01-08
7,22.01571428571429,89.85714285714286,22.62,1015.7142857142857,27.857142857142858,3.0942857142857143,173.85714285714286,20059.0,68296.85714285714,mist,05:34:19,18:58:16,2023-01-15
8,22.34714285714286,76.14285714285714,22.62714285714286,1012.4285714285714,25.714285714285715,4.134285714285714,127.14285714285714,20369.571428571428,68235.28571428571,mist,05:39:29,18:57:15,2023-01-22
9,21.385714285714283,92.85714285714286,22.002857142857145,1014.5714285714286,44.285714285714285,4.134285714285714,194.28571428571428,20673.428571428572,68107.14285714286,heavy intensity rain,05:44:33,18:55:07,2023-01-29
10,20.84714285714286,93.42857142857143,21.427142857142858,1015.0,25.714285714285715,3.3942857142857146,118.57142857142857,20962.428571428572,67916.14285714286,mist,05:49:22,18:51:56,2023-02-05
11,21.595714285714287,89.57142857142857,22.148571428571426,1012.2857142857143,24.285714285714285,3.3285714285714287,250.0,21229.85714285714,67667.0,clear sky,05:53:49,18:47:47,2023-02-12
12,20.23,95.85714285714286,20.812857142857144,1017.4285714285714,73.57142857142857,3.4585714285714286,158.57142857142858,21472.85714285714,67366.57142857143,light rain,05:57:52,18:42:46,2023-02-19
13,22.124285714285715,87.85714285714286,22.685714285714287,1017.1428571428571,37.857142857142854,3.8214285714285716,170.0,21690.85714285714,67022.71428571429,broken clouds,06:01:30,18:37:02,2023-02-26
14,21.83857142857143,86.0,22.324285714285715,1015.0,19.285714285714285,3.1599999999999997,134.28571428571428,21886.0,66645.14285714286,clear sky,06:04:46,18:30:45,2023-03-05
15,20.641428571428573,92.57142857142857,21.178571428571427,1017.1428571428571,68.57142857142857,3.3814285714285717,117.14285714285714,22062.571428571428,66242.57142857143,broken clouds,06:07:42,18:24:02,2023-03-12
16,21.84857142857143,84.42857142857143,22.292857142857144,1017.8571428571429,27.142857142857142,3.5271428571428567,128.57142857142858,22225.85714285714,65826.0,clear sky,06:10:25,18:17:06,2023-03-19
17,21.359999999999996,87.85714285714286,21.844285714285714,1017.1428571428571,32.857142857142854,3.455714285714286,140.0,22382.0,65406.42857142857,clear sky,06:13:02,18:10:06,2023-03-26
18,19.631428571428568,88.71428571428571,19.964285714285715,1017.0,55.0,4.178571428571429,133.57142857142858,22536.714285714286,64993.42857142857,scattered clouds,06:15:36,18:03:13,2023-04-02
19,19.73857142857143,89.85714285714286,20.114285714285717,1017.2857142857143,62.142857142857146,3.185714285714286,136.57142857142858,22695.571428571428,64596.857142857145,light rain,06:18:15,17:56:36,2023-04-09
20,18.397142857142857,87.0,18.564285714285713,1014.4285714285714,32.857142857142854,4.277142857142857,219.14285714285714,22862.571428571428,64225.57142857143,clear sky,06:21:02,17:50:25,2023-04-16
21,18.005714285714284,88.71428571428571,18.177142857142858,1019.5714285714286,46.42857142857143,3.6028571428571428,157.14285714285714,23039.85714285714,63887.71428571428,few clouds,06:23:59,17:44:47,2023-04-23
22,20.174285714285713,87.57142857142857,20.532857142857143,1018.2857142857143,59.285714285714285,3.4528571428571433,154.42857142857142,23227.714285714286,63589.857142857145,broken clouds,06:27:07,17:39:49,2023-04-30
23,19.19,83.42857142857143,19.34142857142857,1018.8571428571429,48.57142857142857,3.222857142857143,158.14285714285714,23424.285714285714,63338.0,broken clouds,06:30:24,17:35:38,2023-05-07
24,14.977142857142857,81.85714285714286,14.667142857142858,1021.8571428571429,27.857142857142858,3.1614285714285715,124.28571428571429,23625.714285714286,63135.42857142857,clear sky,06:33:45,17:32:15,2023-05-14
25,18.291428571428572,79.14285714285714,18.242857142857144,1020.2857142857143,11.428571428571429,2.204285714285714,110.0,23825.85714285714,62985.42857142857,clear sky,06:37:05,17:29:45,2023-05-21
26,16.48,88.14285714285714,16.485714285714288,1021.5714285714286,64.28571428571429,3.38,150.0,24017.14285714286,62889.57142857143,broken clouds,06:40:17,17:28:09,2023-05-28
27,16.624285714285715,82.28571428571429,16.49142857142857,1021.5714285714286,13.571428571428571,1.7642857142857142,137.14285714285714,24191.285714285714,62846.71428571428,clear sky,06:43:11,17:27:26,2023-06-04
28,16.767142857142858,85.28571428571429,16.72714285714286,1020.2857142857143,42.857142857142854,2.8428571428571425,200.57142857142858,24339.14285714286,62855.0,clear sky,06:45:39,17:27:35,2023-06-11
29,16.60857142857143,75.28571428571429,16.291428571428572,1022.2857142857143,32.142857142857146,2.4414285714285713,77.14285714285714,24452.285714285714,62910.57142857143,clear sky,06:47:32,17:28:30,2023-06-18
30,18.104285714285716,79.28571428571429,18.041428571428572,1022.0,16.428571428571427,1.5214285714285716,102.14285714285714,24523.714285714286,63007.42857142857,clear sky,06:48:43,17:30:07,2023-06-25
31,16.498571428571427,73.85714285714286,16.132857142857144,1021.1428571428571,16.428571428571427,2.0100000000000002,83.42857142857143,24546.714285714286,63138.42857142857,clear sky,06:49:06,17:32:18,2023-07-02
32,18.568571428571428,70.0,18.30857142857143,1016.2857142857143,27.142857142857142,3.232857142857143,190.0,24516.85714285714,63295.57142857143,clear sky,06:48:36,17:34:55,2023-07-09
33,15.692857142857141,87.57142857142857,15.605714285714287,1024.857142857143,62.142857142857146,3.357142857142857,121.0,24432.14285714286,63470.142857142855,broken clouds,06:47:12,17:37:50,2023-07-16
34,19.509999999999998,74.0,19.45,1022.5714285714286,17.142857142857142,2.1585714285714284,128.0,24292.0,63653.28571428572,scattered clouds,06:44:52,17:40:53,2023-07-23
35,16.65285714285714,85.57142857142857,16.611428571428572,1022.8571428571429,46.42857142857143,2.3514285714285714,104.28571428571429,24096.714285714286,63837.71428571428,clear sky,06:41:36,17:43:57,2023-07-30
36,18.785714285714285,81.42857142857143,18.845714285714283,1020.8571428571429,19.285714285714285,4.335714285714285,102.85714285714286,23849.571428571428,64017.42857142857,clear sky,06:37:29,17:46:57,2023-08-06
37,18.74857142857143,78.42857142857143,18.72714285714286,1019.2857142857143,34.0,3.087142857142857,128.57142857142858,23554.14285714286,64187.142857142855,clear sky,06:32:34,17:49:47,2023-08-13
38,20.93285714285714,64.0,20.788571428571426,1012.0,32.142857142857146,3.1599999999999997,240.0,23215.571428571428,64345.57142857143,clear sky,06:26:55,17:52:25,2023-08-20
39,14.528571428571428,85.42857142857143,14.268571428571429,1020.8571428571429,50.0,3.454285714285714,145.71428571428572,22840.714285714286,64492.142857142855,clear sky,06:20:40,17:54:52,2023-08-27
40,20.445714285714285,84.14285714285714,20.857142857142858,1019.5714285714286,30.714285714285715,3.8442857142857143,203.42857142857142,22436.428571428572,64628.28571428572,clear sky,06:13:56,17:57:08,2023-09-03
41,20.71142857142857,71.28571428571429,20.639999999999997,1017.5714285714286,35.714285714285715,3.0614285714285714,123.85714285714286,22011.571428571428,64757.71428571428,clear sky,06:06:51,17:59:17,2023-09-10
42,21.99857142857143,72.0,22.134285714285713,1016.5714285714286,2.857142857142857,3.0142857142857147,151.42857142857142,21575.285714285714,64885.57142857143,clear sky,05:59:35,18:01:25,2023-09-17
43,22.214285714285715,75.42857142857143,22.647142857142857,1014.7142857142857,42.857142857142854,4.04,115.71428571428571,21137.714285714286,65017.42857142857,broken clouds,05:52:17,18:03:37,2023-09-24
44,19.40285714285714,90.85714285714286,19.68,1013.1428571428571,42.857142857142854,3.16,154.28571428571428,20708.571428571428,65159.42857142857,clear sky,05:45:08,18:05:59,2023-10-01
45,19.318571428571428,89.85714285714286,19.65285714285714,1017.1428571428571,62.857142857142854,4.63,167.14285714285714,20298.428571428572,65317.857142857145,light rain,05:38:18,18:08:37,2023-10-08
46,18.63,86.71428571428571,18.814285714285713,1020.0,67.85714285714286,4.042857142857143,118.57142857142857,19917.285714285714,65498.0,broken clouds,05:31:57,18:11:38,2023-10-15
47,19.685714285714287,85.42857142857143,19.897142857142857,1014.5714285714286,62.857142857142854,3.741428571428571,160.57142857142858,19574.571428571428,65702.71428571429,broken clouds,05:26:14,18:15:02,2023-10-22
48,21.43285714285714,89.0,21.955714285714286,1012.4285714285714,45.714285714285715,3.2328571428571427,194.28571428571428,19279.0,65933.71428571429,broken clouds,05:21:19,18:18:53,2023-10-29
49,19.978571428571428,72.28571428571429,19.935714285714287,1017.0,16.428571428571427,3.7471428571428573,134.28571428571428,19037.85714285714,66190.0,clear sky,05:17:17,18:23:10,2023-11-05
50,25.23,76.14285714285714,25.73428571428571,1011.8571428571429,32.142857142857146,3.8957142857142855,130.0,18858.0,66467.57142857143,clear sky,05:14:18,18:27:47,2023-11-12
51,21.931428571428572,82.57142857142857,22.611428571428572,1015.5714285714286,54.285714285714285,4.335714285714286,185.71428571428572,18743.14285714286,66759.85714285714,light rain,05:12:23,18:32:39,2023-11-19
52,20.414285714285715,88.57142857142857,20.827142857142857,1016.2857142857143,46.42857142857143,3.7471428571428573,178.57142857142858,18697.0,67057.14285714286,clear sky,05:11:37,18:37:37,2023-11-26
53,23.8925,74.125,24.33,1014.625,33.125,4.115,173.75,18717.375,67337.75,clear sky,05:11:57,18:42:17,2023-12-03
54,20.365714285714287,85.28571428571429,20.685714285714287,1016.2857142857143,43.57142857142857,4.117142857142857,131.42857142857142,18808.571428571428,67619.85714285714,broken clouds,05:13:28,18:46:59,2023-12-10
55,22.057142857142857,79.14285714285714,22.384285714285713,1013.2857142857143,43.57142857142857,4.261428571428572,111.42857142857143,18960.285714285714,67860.0,broken clouds,05:16:00,18:51:00,2023-12-17
56,23.111428571428572,72.71428571428571,23.532857142857143,1014.0,13.571428571428571,3.014285714285714,168.57142857142858,19166.14285714286,68056.85714285714,clear sky,05:19:26,18:54:16,2023-12-24
57,20.12,82.42857142857143,20.33857142857143,1014.8571428571429,75.0,4.3428571428571425,140.0,19416.85714285714,68200.42857142857,broken clouds,05:23:36,18:56:40,2023-12-31
58,22.858571428571427,81.0,23.244285714285716,1014.2857142857143,41.42857142857143,3.2342857142857144,165.71428571428572,19700.428571428572,68283.28571428571,clear sky,05:28:20,18:58:03,2024-01-07
59,23.47,78.85714285714286,24.064285714285713,1015.1428571428571,37.857142857142854,2.744285714285714,150.71428571428572,20003.428571428572,68300.85714285714,clear sky,05:33:23,18:58:20,2024-01-14
60,18.574285714285715,88.28571428571429,18.791428571428572,1015.2857142857143,70.0,4.998571428571429,172.85714285714286,20313.714285714286,68251.0,broken clouds,05:38:33,18:57:31,2024-01-21
61,21.164285714285715,77.85714285714286,21.368571428571432,1016.2857142857143,45.714285714285715,3.382857142857143,132.85714285714286,20619.714285714286,68134.85714285714,broken clouds,05:43:39,18:55:34,2024-01-28
62,22.62857142857143,77.42857142857143,22.96857142857143,1016.8571428571429,35.0,3.6014285714285714,120.0,20912.0,67955.0,clear sky,05:48:32,18:52:35,2024-02-04
63,22.082857142857144,80.57142857142857,22.452857142857145,1017.2857142857143,38.57142857142857,3.6228571428571428,138.42857142857142,21183.571428571428,67715.71428571429,clear sky,05:53:03,18:48:35,2024-02-11
64,21.275714285714287,89.57142857142857,21.798571428571428,1012.4285714285714,65.71428571428571,3.0300000000000002,131.71428571428572,21430.85714285714,67423.85714285714,broken clouds,05:57:10,18:43:43,2024-02-18
65,23.345714285714287,83.57142857142857,23.91857142857143,1016.4285714285714,51.42857142857143,3.1614285714285715,138.57142857142858,21653.14285714286,67087.28571428571,broken clouds,06:00:53,18:38:07,2024-02-25
66,22.048571428571428,86.57142857142857,22.57,1016.1428571428571,65.0,3.894285714285714,155.71428571428572,21852.428571428572,66714.71428571429,broken clouds,06:04:12,18:31:54,2024-03-03
67,23.638571428571428,77.14285714285714,24.389999999999997,1015.8571428571429,42.142857142857146,3.38,155.71428571428572,22032.14285714286,66316.0,clear sky,06:07:12,18:25:16,2024-03-10
68,24.29,81.14285714285714,25.114285714285717,1014.2857142857143,48.57142857142857,3.748571428571428,131.42857142857142,22197.285714285714,65901.71428571429,moderate rain,06:09:57,18:18:21,2024-03-17
69,19.635714285714283,88.0,19.95285714285714,1019.0,70.0,3.75,140.0,22354.0,65481.57142857143,broken clouds,06:12:34,18:11:21,2024-03-24
70,21.767142857142858,78.42857142857143,22.047142857142855,1015.8571428571429,30.0,2.8657142857142857,132.85714285714286,22508.85714285714,65066.857142857145,clear sky,06:15:08,18:04:26,2024-03-31
71,21.087142857142858,86.42857142857143,21.50857142857143,1017.4285714285714,73.57142857142857,3.6,127.14285714285714,22666.571428571428,64666.42857142857,broken clouds,06:17:46,17:57:46,2024-04-07
72,20.71857142857143,83.14285714285714,21.017142857142858,1018.2857142857143,67.85714285714286,3.8971428571428572,142.85714285714286,22831.571428571428,64290.142857142855,broken clouds,06:20:31,17:51:30,2024-04-14
73,21.037142857142857,78.42857142857143,21.244285714285716,1017.7142857142857,13.571428571428571,2.6457142857142855,131.42857142857142,23007.14285714286,63945.57142857143,clear sky,06:23:27,17:45:45,2024-04-21
74,24.167142857142856,66.85714285714286,24.332857142857144,1014.4285714285714,0.0,2.498571428571428,161.42857142857142,23193.428571428572,63640.0,clear sky,06:26:33,17:40:40,2024-04-28
75,23.354285714285712,68.71428571428571,23.541428571428572,1017.1428571428571,16.571428571428573,2.6271428571428572,131.42857142857142,23388.571428571428,63379.28571428572,clear sky,06:29:48,17:36:19,2024-05-05
76,20.81714285714286,68.28571428571429,20.73857142857143,1016.1428571428571,25.0,2.2785714285714285,141.42857142857142,23589.571428571428,63168.0,clear sky,06:33:09,17:32:48,2024-05-12
77,20.18857142857143,78.0,20.298571428571428,1019.1428571428571,25.0,3.2342857142857144,144.28571428571428,23790.428571428572,63008.42857142857,clear sky,06:36:30,17:30:08,2024-05-19
78,14.827142857142858,84.85714285714286,14.581428571428571,1023.0,60.714285714285715,4.2628571428571425,144.28571428571428,23984.0,62902.71428571428,broken clouds,06:39:44,17:28:22,2024-05-26
79,17.487142857142857,78.28571428571429,17.335714285714285,1023.5714285714286,10.714285714285714,1.78,82.42857142857143,24161.85714285714,62850.42857142857,clear sky,06:42:41,17:27:30,2024-06-02
80,18.67142857142857,74.57142857142857,18.541428571428572,1020.1428571428571,2.0,1.2485714285714287,70.0,24315.14285714286,62850.0,clear sky,06:45:15,17:27:30,2024-06-09
81,19.562857142857144,61.0,19.16714285714286,1018.5714285714286,2.4285714285714284,1.91,115.71428571428571,24435.14285714286,62897.28571428572,clear sky,06:47:15,17:28:17,2024-06-16
82,20.367142857142856,67.85714285714286,20.231428571428573,1016.4285714285714,13.571428571428571,2.4514285714285715,182.57142857142858,24514.285714285714,62987.42857142857,clear sky,06:48:34,17:29:47,2024-06-23
83,17.41,73.14285714285714,17.117142857142856,1020.0,21.428571428571427,1.6885714285714286,92.85714285714286,24546.14285714286,63113.0,clear sky,06:49:06,17:31:53,2024-06-30
84,15.554285714285713,90.14285714285714,15.52,1020.7142857142857,56.42857142857143,3.8214285714285716,158.57142857142858,24526.285714285714,63266.0,mist,06:48:46,17:34:26,2024-07-07
85,15.384285714285713,84.71428571428571,15.19,1025.0,52.142857142857146,2.2842857142857143,90.42857142857143,24451.714285714286,63437.857142857145,clear sky,06:47:31,17:37:17,2024-07-14
86,16.857142857142858,67.14285714285714,16.352857142857143,1023.2857142857143,12.285714285714286,1.837142857142857,104.28571428571429,24321.0,63620.0,clear sky,06:45:21,17:40:20,2024-07-21
87,17.49142857142857,76.71428571428571,17.297142857142855,1023.2857142857143,41.42857142857143,3.5185714285714282,157.14285714285714,24135.714285714286,63804.71428571428,clear sky,06:42:15,17:43:24,2024-07-28
88,21.610000000000003,56.142857142857146,21.292857142857144,1018.1428571428571,14.285714285714286,2.9457142857142853,116.71428571428571,23897.714285714286,63985.57142857143,clear sky,06:38:17,17:46:25,2024-08-04
89,14.058571428571428,72.0,13.12142857142857,1021.7142857142857,21.428571428571427,2.2057142857142855,134.28571428571428,23610.428571428572,64157.57142857143,clear sky,06:33:30,17:49:17,2024-08-11
90,21.854285714285712,57.0,21.592857142857145,1017.8571428571429,21.428571428571427,2.7199999999999998,121.42857142857143,23279.428571428572,64318.28571428572,clear sky,06:27:59,17:51:58,2024-08-18
91,14.055714285714286,76.57142857142857,13.254285714285714,1025.0,55.285714285714285,2.792857142857143,100.0,22910.285714285714,64466.57142857143,clear sky,06:21:50,17:54:26,2024-08-25
92,20.717142857142857,62.42857142857143,20.532857142857143,1018.4285714285714,35.714285714285715,3.2357142857142853,157.14285714285714,22510.85714285714,64604.57142857143,clear sky,06:15:10,17:56:44,2024-09-01
93,26.437142857142856,40.42857142857143,26.132857142857144,1016.1428571428571,16.714285714285715,1.6157142857142859,157.14285714285714,22089.0,64734.857142857145,clear sky,06:08:09,17:58:54,2024-09-08
94,17.638571428571428,84.42857142857143,17.664285714285715,1020.4285714285714,75.0,4.6499999999999995,154.71428571428572,21654.14285714286,64862.42857142857,light rain,06:00:54,18:01:02,2024-09-15
95,23.23,60.714285714285715,23.201428571428572,1015.0,21.428571428571427,2.865714285714286,131.42857142857142,21215.85714285714,64993.142857142855,clear sky,05:53:35,18:03:13,2024-09-22
96,19.87142857142857,73.71428571428571,19.73857142857143,1018.4285714285714,64.28571428571429,4.777142857142857,164.28571428571428,20784.428571428572,65133.0,broken clouds,05:46:24,18:05:33,2024-09-29
97,17.82857142857143,86.71428571428571,17.93,1016.7142857142857,66.42857142857143,3.5285714285714285,154.28571428571428,20370.14285714286,65288.142857142855,broken clouds,05:39:30,18:08:08,2024-10-06
98,18.3,84.57142857142857,18.39428571428571,1019.8571428571429,73.57142857142857,4.321428571428571,152.28571428571428,19983.14285714286,65463.71428571428,broken clouds,05:33:03,18:11:03,2024-10-13
99,20.30857142857143,87.0,20.665714285714284,1014.7142857142857,48.57142857142857,3.1614285714285715,182.85714285714286,19632.85714285714,65664.14285714286,clear sky,05:27:12,18:14:24,2024-10-20
100,18.60571428571429,84.42857142857143,18.728571428571428,1018.2857142857143,67.85714285714286,4.777142857142857,118.57142857142857,19328.14285714286,65890.28571428571,broken clouds,05:22:08,18:18:10,2024-10-27
101,20.40285714285714,90.71428571428571,20.864285714285717,1014.1428571428571,68.57142857142857,3.011428571428571,151.42857142857142,19076.714285714286,66142.28571428571,light rain,05:17:56,18:22:22,2024-11-03
102,17.888571428571428,82.71428571428571,17.89142857142857,1015.2857142857143,78.57142857142857,3.8957142857142855,121.42857142857143,18885.428571428572,66416.57142857143,overcast clouds,05:14:45,18:26:56,2024-11-10
103,20.25142857142857,81.85714285714286,20.46857142857143,1015.5714285714286,62.857142857142854,4.3342857142857145,117.0,18758.571428571428,66706.57142857143,broken clouds,05:12:38,18:31:46,2024-11-17
104,21.93285714285714,71.0,22.064285714285713,1013.7142857142857,32.142857142857146,3.3057142857142856,217.14285714285714,18700.0,67003.71428571429,clear sky,05:11:40,18:36:43,2024-11-24
105,21.91,87.5,22.44,1012.5,69.25,3.3975,183.5,18700.75,67235.25,broken clouds,05:11:40,18:40:35,2024-12-01
